U10,V10,Mwp,Swh
0.05057424484336146,0.09481780708275463,0.0733933151488316,0.7812146329250523
0.061065011896624895,0.11626568934448195,0.08189613946519046,0.7407731592937027
0.049476261125163803,0.08914234402771448,0.08362352383542032,0.7777578710117014
0.04827431679203593,0.09092682801191282,0.07741999304846958,0.7833788621475817
0.043515512417639846,0.07610566778493995,0.0760438198921764,0.8043349999052439
0.04435684232426241,0.07408767954630079,0.0772784569224334,0.8042770212070034
0.04675347918059722,0.07587852999401945,0.08012870572429413,0.7972392851010892
0.04541883816903652,0.07794351605612185,0.08511802981440504,0.7915196159604365
0.03581165229688986,0.0691787182959317,0.12430178611631168,0.7707078432908667
0.04041874145820307,0.06486654774526181,0.09086642859510406,0.803848282201431
0.04412655122563919,0.06398460270429353,0.07609615967680246,0.8157926863932649
0.05984653410276953,0.05660538964547462,0.13236389808627952,0.7511841781654763
0.038262115076453676,0.09673732229067403,0.10562084425331825,0.7593797183795541
0.043841685852027,0.09695416779654044,0.09190330602225287,0.7673008403291797
0.04275555472984661,0.08343133174398387,0.08449403932882586,0.7893190741973437
0.039313905540232744,0.08147797999841375,0.09195749964425735,0.7872506148170961
0.035140971818453576,0.08193441472345579,0.11432343150841225,0.7686011819496783
0.037646567427454515,0.0947178502238198,0.10678435264885906,0.7608512296998666
0.0459605546422243,0.12177798539913648,0.11811493906459264,0.7141465208940466
0.052927738084305634,0.11651955322829788,0.08323316266308413,0.7473195460243123
0.05099546696512735,0.0868445930174391,0.07736662367887091,0.7847933163385628
0.05834456709128317,0.08010345199390648,0.07154736559381994,0.7900046153209904
0.06740982104620472,0.0794817816579384,0.07013544098912865,0.7829729563067283
0.07224825103474071,0.07414090327828637,0.07140939481371117,0.7822014508732618
0.06594513119860328,0.06886200086218681,0.07105442268264028,0.7941384452565696
0.06737328554946176,0.06947326074966645,0.06999273630964468,0.7931607173912272
0.06346889781302284,0.07262361993843562,0.07256693820259105,0.7913405440459506
0.06872615532317064,0.08293574995637086,0.08037513622998464,0.7679629584904739
0.0625413822029059,0.05839430375899547,0.071216508867167,0.8078478051709317
0.0793328837647401,0.08655218967674962,0.07636155687543947,0.7577533696830707
0.087491413607103,0.09970308834110803,0.07981651043157556,0.7329889876202135
0.05858218667445934,0.08307029589696757,0.11372226262263674,0.7446252548059364
0.02794314294397244,0.058731411605386336,0.08243109514372755,0.8308943503069137
0.0395186734512153,0.09212450098417622,0.09043943277890631,0.7779173927857022
0.04142013524379393,0.07987407943409361,0.07952792020578003,0.7991778651163325
0.04707895438616071,0.07415537723325487,0.07468576334780497,0.8040799050327794
0.05501934208423683,0.07835487223103929,0.07718041261171672,0.7894453730730072
0.05833406247434133,0.08789230925212027,0.07943602078769826,0.7743376074858401
0.05882721694313574,0.09468133262704657,0.08190172994624338,0.7645897204835744
0.057436175372236296,0.11710133527027494,0.08561125182537094,0.7398512375321178
0.052438233276441024,0.07935343396508661,0.0891831396967153,0.779025193061757
0.05134995290915699,0.08212898023184348,0.10223802375696858,0.7642830431020309
0.07226777076575033,0.08233970816018987,0.09464486434204289,0.7507476567320169
0.06721352295171014,0.0954428745392757,0.08585793622920479,0.7514856662798094
0.07092533740049291,0.07234333983555603,0.0815940726822832,0.7751372500816678
0.07157508363520781,0.06803879980088336,0.0771693959196303,0.7832167206442786
0.08328897886934818,0.06577613939864937,0.07713000284124834,0.7738048788907541
0.08352072789353504,0.06277153470664522,0.07624324460599985,0.77746449279382
0.08865844063386401,0.05802992888590244,0.07515449079312621,0.7781571396871073
0.08850058385197748,0.057693308164428685,0.07504746127228652,0.7787586467113072
0.08701376451459258,0.06062990203680609,0.07145407676671132,0.7809022566818901
0.08318641801886192,0.06718931440683798,0.06954733295896182,0.7800769346153382
0.0952479964728765,0.06856173733662384,0.07027979344711557,0.7659104727433841
0.09270358212758426,0.07228618645759911,0.07092723997436323,0.7640829914404534
0.10880821229968972,0.08380258146797166,0.07675924987372007,0.7306299563586186
0.10846658297351613,0.10539065936639257,0.09048748991334679,0.6956552677467446
0.0763196062295933,0.084045057644929,0.10859113310748211,0.7310442030179957
0.026796792379387323,0.06901783078774057,0.10171889548380161,0.8024664813490705
0.03379739616786376,0.059861921402611366,0.08453091612336568,0.8218097663061591
0.042133942306810654,0.07451969206590021,0.07718801704725269,0.8061583485800364
0.046010860799859776,0.07081070865649651,0.07446596511240587,0.8087124654312378
0.05723276271818276,0.0644980716068958,0.07470655474003243,0.803562610934889
0.06306491059249461,0.060367632595110104,0.07423921019414562,0.8023282466182496
0.06879338853348216,0.06389655033687218,0.07502136687730575,0.7922886942523399
0.07303011140181379,0.07079381640876803,0.0778271240456004,0.7783489481438177
0.08083260045936945,0.0731577567349822,0.07959721245504078,0.7664124303506076
0.08288623479435506,0.07656583852593701,0.08358605358191357,0.7569618730977944
0.08350499425317129,0.07592687064774252,0.08688888563673587,0.7536792494623503
0.09016330666490532,0.07929794398353208,0.09245936662478729,0.7380793827267753
0.08618822573203797,0.06856997787703646,0.09044234193247154,0.7547994544584541
0.08766684475124095,0.065127722310074,0.08909425958495351,0.7581111733537315
0.08142378218977601,0.05824580473132794,0.08432553148038631,0.7760048815985098
0.07500178831865266,0.05666632586025747,0.08108061579085825,0.7872512700302315
0.07713118937042061,0.05400417089881081,0.08082218156573942,0.7880424581650292
0.08055867390891581,0.05883403783092973,0.07717160422033563,0.7834356840398188
0.07925461522524298,0.05271784089156421,0.07542797204919952,0.7925995718339933
0.08561284607253676,0.054889626029262874,0.077919638744592,0.7815778891536083
0.08745029572719919,0.053320208990564784,0.0715987275107848,0.7876307677714511
